309.0	 1133	 1155	 1233	 1282	 1261	 1234	 1129	952.4	815.7	766.3	711.7	564.2	386.5	285.8	250.7	256.1	379.7	 1402	 6108	9999.9	 8198	 2413	254.5	18.23	8.197	6.194	4.916	3.928	3.645	3.157	2.739	2.512	2.278	2.148	1.809	1.763	1.760	1.614	1.587	1.331	1.238	1.173	1.115	1.100	1.027	1.048	0.931	0.877	0.821	0.793	0.799
312.0	 1018	 1039	 1099	 1128	 1108	 1096	 1027	909.5	806.8	755.2	716.2	651.9	502.4	366.6	307.9	285.8	291.5	396.3	 1425	 5400	9999.9	 7994	 2363	246.2	19.66	7.918	5.921	4.653	4.055	3.440	2.953	2.589	2.466	2.161	1.927	1.828	1.770	1.583	1.610	1.379	1.359	1.216	1.104	1.105	1.078	1.136	0.934	0.864	0.814	0.846	0.811
315.0	927.8	949.1	993.8	 1013	997.0	992.0	953.7	871.0	801.1	770.6	715.6	663.7	588.5	462.8	370.7	332.2	318.9	307.9	405.3	 1302	 5542	 9987	 7593	 2269	299.1	17.13	7.233	5.725	4.715	3.853	3.170	3.012	2.687	2.322	2.127	1.994	1.845	1.674	1.558	1.392	1.324	1.264	1.218	1.188	1.110	1.096	0.914	0.915	0.841	0.834	0.808
318.0	845.5	868.1	905.6	921.2	913.0	913.2	892.3	848.0	799.3	789.2	734.0	667.8	615.2	551.0	454.7	385.6	360.4	331.0	310.0	393.2	 1319	 5148	 9837	 7330	 2405	230.5	15.52	7.087	5.467	4.390	3.528	3.195	2.792	2.449	2.199	2.024	1.853	1.753	1.642	1.433	1.383	1.260	1.137	1.208	1.171	1.178	0.912	0.875	0.869	0.814	0.781
321.0	775.8	793.2	835.2	858.8	847.0	860.4	859.2	835.4	818.9	819.0	779.8	711.0	635.3	607.7	563.3	477.3	423.2	377.2	336.7	316.6	391.0	 1187	 5001	 9274	 7535	 2249	267.9	17.36	7.149	5.307	4.294	3.620	3.059	2.550	2.435	2.172	1.968	1.874	1.762	1.551	1.457	1.391	1.187	1.197	1.175	1.215	0.943	0.887	0.835	0.898	0.791
324.0	716.5	745.0	786.2	803.7	806.0	816.1	829.9	831.2	841.0	858.9	838.0	777.0	696.8	649.8	637.9	591.2	510.3	434.6	379.8	343.3	304.4	348.1	 1187	 4871	 8917	 6896	 2176	272.7	16.06	6.854	5.063	4.155	3.275	2.852	2.536	2.323	2.139	1.917	1.711	1.702	1.482	1.374	1.326	1.347	1.225	1.206	0.993	0.893	0.879	0.871	0.812
327.0	669.3	695.0	724.6	750.9	754.7	778.0	803.4	820.6	846.3	876.0	871.5	826.6	753.8	693.2	666.6	663.0	604.3	503.4	425.1	377.2	324.6	268.1	310.7	 1104	 4284	 8528	 6768	 2297	263.2	15.57	6.406	5.011	3.938	3.311	2.668	2.355	2.170	2.069	1.897	1.718	1.539	1.414	1.246	1.389	1.237	1.215	1.010	0.966	0.925	0.836	0.810
330.0	620.6	644.8	675.3	697.0	708.3	731.8	760.1	790.3	825.3	862.4	869.9	831.4	766.4	710.3	672.8	659.2	649.6	568.0	463.6	402.5	341.3	276.9	220.0	277.2	970.3	 4307	 8076	 6748	 2372	284.1	14.49	6.324	4.663	3.747	3.161	2.750	2.352	2.141	1.925	1.751	1.505	1.494	1.348	1.399	1.223	1.215	1.063	0.968	0.886	0.778	0.904
333.0	582.6	597.9	631.9	653.6	663.1	688.2	716.0	750.1	787.3	832.6	837.8	807.9	755.0	704.4	668.4	637.1	632.2	596.8	503.4	420.8	351.8	286.1	219.0	183.7	249.4	994.1	 4093	 7867	 7010	 2188	243.8	14.07	5.955	4.245	3.617	2.927	2.534	2.336	1.989	1.790	1.580	1.553	1.402	1.345	1.279	1.274	1.012	0.953	0.947	0.855	0.830
336.0	545.7	557.4	592.3	609.9	625.4	645.0	671.6	708.8	749.3	789.9	807.0	779.7	734.3	690.6	658.3	624.0	594.9	576.2	528.5	450.3	363.7	293.7	225.5	176.8	166.5	246.1	921.5	 3741	 8334	 6313	 2154	283.8	13.98	5.490	4.200	3.390	2.889	2.473	2.180	1.961	1.740	1.515	1.413	1.411	1.328	1.327	1.033	1.026	0.884	0.881	0.852
